X,Y,id,DESA,icon_url
104.548630103046,-3.27488743460463,"1",SENTUL,./0.png
104.659035506704,-3.33536943514225,"2",Tanjung Laut,./0.png
104.603186688613,-3.3454589659497,"3",Pajar Bulan,./0.png
104.649541506544,-3.34189038075983,"4",Limbang Jaya,./0.png
104.604915796901,-3.18689605699766,"5",Purna Jaya,./0.png
104.611514920287,-3.23265764362706,"7",Tanjung Baru,./0.png
104.574835750861,-3.14793133752113,"9",Lorok,./0.png
104.535397366083,-3.17883454947466,"9",Bakung,./0.png
104.547905809016,-3.15587787773775,"10",Pulau Kabal,./0.png
104.591906096512,-3.17809875871386,"11",Parit,./0.png
104.554012872331,-3.22092178099233,"13",Suka Mulya,./0.png
104.735201347177,-3.20348353996141,"14",Sri Banding,./0.png
104.685241154519,-3.1898346213486,"14",Palemraya,./0.png
104.595925353543,-3.28308690289528,"16",Burai,./0.png
104.693633767884,-3.22855561013561,"17",baktiguna,./0.png
